Epoch: [1][1/362]	Time 1.218 (1.218)	Data 0.738 (0.738)	Loss 0.9526 (0.9526)	MAE 0.943 (0.943)
Epoch: [1][2/362]	Time 0.383 (0.801)	Data 0.147 (0.443)	Loss 0.7317 (0.8421)	MAE 0.781 (0.862)
Epoch: [1][3/362]	Time 0.662 (0.754)	Data 0.318 (0.401)	Loss 1.3933 (1.0258)	MAE 1.017 (0.914)
Epoch: [1][4/362]	Time 0.534 (0.699)	Data 0.271 (0.368)	Loss 2.2837 (1.3403)	MAE 1.290 (1.008)
Epoch: [1][5/362]	Time 0.609 (0.681)	Data 0.307 (0.356)	Loss 3.5759 (1.7874)	MAE 1.577 (1.122)
Epoch: [1][6/362]	Time 0.637 (0.674)	Data 0.328 (0.351)	Loss 1.0728 (1.6683)	MAE 0.947 (1.092)
Epoch: [1][7/362]	Time 0.523 (0.652)	Data 0.219 (0.333)	Loss 1.1169 (1.5895)	MAE 0.958 (1.073)
Epoch: [1][8/362]	Time 0.519 (0.636)	Data 0.209 (0.317)	Loss 1.9714 (1.6373)	MAE 1.257 (1.096)
Epoch: [1][9/362]	Time 0.606 (0.632)	Data 0.299 (0.315)	Loss 1.1358 (1.5816)	MAE 0.983 (1.084)
Epoch: [1][10/362]	Time 0.381 (0.607)	Data 0.060 (0.290)	Loss 0.9061 (1.5140)	MAE 0.884 (1.064)
Epoch: [1][11/362]	Time 1.002 (0.643)	Data 0.113 (0.274)	Loss 0.7708 (1.4465)	MAE 0.796 (1.039)
Epoch: [1][12/362]	Time 0.621 (0.641)	Data 0.173 (0.265)	Loss 1.3082 (1.4349)	MAE 0.989 (1.035)
Epoch: [1][13/362]	Time 0.392 (0.622)	Data 0.104 (0.253)	Loss 2.5471 (1.5205)	MAE 1.353 (1.059)
Epoch: [1][14/362]	Time 0.481 (0.612)	Data 0.174 (0.247)	Loss 1.5843 (1.5251)	MAE 1.106 (1.063)
Epoch: [1][15/362]	Time 0.347 (0.594)	Data 0.072 (0.235)	Loss 0.6865 (1.4691)	MAE 0.807 (1.046)
Epoch: [1][16/362]	Time 0.473 (0.587)	Data 0.105 (0.227)	Loss 0.7347 (1.4232)	MAE 0.758 (1.028)
Epoch: [1][17/362]	Time 0.997 (0.611)	Data 0.734 (0.257)	Loss 0.7578 (1.3841)	MAE 0.785 (1.014)
Epoch: [1][18/362]	Time 0.842 (0.624)	Data 0.144 (0.251)	Loss 0.9488 (1.3599)	MAE 0.820 (1.003)
Epoch: [1][19/362]	Time 1.333 (0.661)	Data 0.497 (0.264)	Loss 1.0875 (1.3456)	MAE 1.003 (1.003)
Epoch: [1][20/362]	Time 0.942 (0.675)	Data 0.547 (0.278)	Loss 0.8940 (1.3230)	MAE 0.867 (0.996)
Epoch: [1][21/362]	Time 0.380 (0.661)	Data 0.052 (0.267)	Loss 0.6978 (1.2932)	MAE 0.793 (0.986)
Epoch: [1][22/362]	Time 0.491 (0.653)	Data 0.153 (0.262)	Loss 2.3325 (1.3405)	MAE 1.396 (1.005)
Epoch: [1][23/362]	Time 0.530 (0.648)	Data 0.219 (0.260)	Loss 2.6053 (1.3955)	MAE 1.534 (1.028)
Epoch: [1][24/362]	Time 0.447 (0.640)	Data 0.157 (0.256)	Loss 0.9298 (1.3761)	MAE 0.972 (1.026)
Epoch: [1][25/362]	Time 0.426 (0.631)	Data 0.132 (0.251)	Loss 1.3036 (1.3732)	MAE 1.021 (1.025)
Epoch: [1][26/362]	Time 0.410 (0.623)	Data 0.110 (0.246)	Loss 1.1667 (1.3652)	MAE 0.896 (1.020)
Epoch: [1][27/362]	Time 0.411 (0.615)	Data 0.135 (0.241)	Loss 2.4972 (1.4071)	MAE 1.473 (1.037)
Epoch: [1][28/362]	Time 0.378 (0.606)	Data 0.072 (0.235)	Loss 1.6691 (1.4165)	MAE 1.268 (1.045)
